date,btc
6/11/2016,614.51
6/12/2016,672
6/13/2016,705.87
6/14/2016,684.5
6/15/2016,696.99
6/16/2016,769.5
6/17/2016,747.95
6/18/2016,757.6
6/19/2016,767.3
6/20/2016,743.9
6/21/2016,668.6
6/22/2016,605.85
6/23/2016,625.8
6/24/2016,665.5
6/25/2016,664.87
6/26/2016,627.42
6/27/2016,662.33
6/28/2016,646.61
6/29/2016,640
6/30/2016,674.74
7/1/2016,674.75
7/2/2016,705.99
7/3/2016,659.29
7/4/2016,681.34
7/5/2016,667.8
7/6/2016,677.04
7/7/2016,640.51
7/8/2016,664.8
7/9/2016,648.11
7/10/2016,649.72
7/11/2016,647.95
7/12/2016,667.19
7/13/2016,653.7
7/14/2016,659.78
7/15/2016,665.5
7/16/2016,665.33
7/17/2016,683.2
7/18/2016,674.3
7/19/2016,675
7/20/2016,665.85
7/21/2016,665.01
7/22/2016,648.04
7/23/2016,654.03
7/24/2016,661.82
7/25/2016,654.17
7/26/2016,648.47
7/27/2016,655.51
7/28/2016,655.93
7/29/2016,658.34
7/30/2016,654.99
7/31/2016,622.83
8/1/2016,608.29
8/2/2016,604.1
8/3/2016,576.6037067
8/4/2016,576.0338
8/5/2016,587.635
8/6/2016,592.6675
8/7/2016,590.7125
8/8/2016,585.3025
8/9/2016,592.2668433
8/10/2016,590.28
8/11/2016,591.27
8/12/2016,585.5
8/13/2016,583.73
8/14/2016,569.41
8/15/2016,564.64
8/16/2016,574.17
8/17/2016,571.83
8/18/2016,572.21
8/19/2016,573.51
8/20/2016,582.1
8/21/2016,581.42
8/22/2016,588.01
8/23/2016,583.54
8/24/2016,580.32
8/25/2016,577.2
8/26/2016,578.02
8/27/2016,568.55
8/28/2016,574.17
8/29/2016,574.78
8/30/2016,579.49
8/31/2016,576.15
9/1/2016,572.73
9/2/2016,579.85
9/3/2016,609.89
9/4/2016,614.52
9/5/2016,611.5
9/6/2016,615.23
9/7/2016,619.75
9/8/2016,631.73
9/9/2016,626.25
9/10/2016,628
9/11/2016,612.08
9/12/2016,611.62
9/13/2016,614.23
9/14/2016,613.88
9/15/2016,611.81
9/16/2016,610.01
9/17/2016,607.69
9/18/2016,613.03
9/19/2016,609.79
9/20/2016,600.14
9/21/2016,597.43
9/22/2016,597.08
9/23/2016,603.29
9/24/2016,602.55
9/25/2016,600.36
9/26/2016,609.14
9/27/2016,605.53
9/28/2016,603.76
9/29/2016,604.6
9/30/2016,611.1
10/1/2016,614.09
10/2/2016,609.09
10/3/2016,612.67
10/4/2016,610.98
10/5/2016,614.09
10/6/2016,613.51
10/7/2016,620.13
10/8/2016,620.5
10/9/2016,616.56
10/10/2016,618.87
10/11/2016,641.87
10/12/2016,637.63
10/13/2016,637.01
10/14/2016,643
10/15/2016,640.2
10/16/2016,644.18
10/17/2016,639.79
10/18/2016,638.68
10/19/2016,631.77
10/20/2016,632.46
10/21/2016,636.73
10/22/2016,664.99
10/23/2016,659.03
10/24/2016,654.65
10/25/2016,659.52
10/26/2016,678.7
10/27/2016,688.67
10/28/2016,693.47
10/29/2016,714.51
10/30/2016,702.55
10/31/2016,701.02
11/1/2016,734.6
11/2/2016,750.85
11/3/2016,692.51
